symptoms,doctor_specialty,recommendations
болит голова,невролог,"Примите обезболивающее, избегайте стресса, пейте воду"
температура,терапевт,"Пейте больше жидкости, отдыхайте, примите жаропонижающее"
кашель,терапевт,"Пейте теплый чай, избегайте холодного воздуха, используйте сироп от кашля"
боль в животе,гастроэнтеролог,"Избегайте тяжелой пищи, пейте воду, примите обезбаливающее"
боль в спине,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
сердцебиение,кардиолог,"Избегайте стресса, измерьте пульс, обратитесь к врачу"
головокружение,невролог,"Прилягте, избегайте резких движений, пейте воду"
насморк,отоларинголог,"Используйте капли для носа, пейте больше жидкости, избегайте переохлаждения"
боль в ухе,отоларинголог,"Используйте ушные капли, избегайте громких звуков, обратитесь к врачу"
зубная боль,стоматолог,"Примите обезболивающее, избегайте холодного и горячего, запишитесь к стоматологу"
слабость,терапевт,"Отдыхайте, пейте воду, проверьте уровень гемоглобина"
резь в глазах,офтальмолог,"Используйте капли для глаз, избегайте яркого света, обратитесь к врачу"
боль в горле,отоларинголог,"Полощите горло, пейте теплый чай, избегайте холодного"
высыпания на коже,дерматолог,"Используйте увлажняющий крем, избегайте аллергенов, обратитесь к врачу"
отеки,кардиолог,"Избегайте соленой пищи, пейте воду, измерьте давление, обратитесь к врачу"
изжога,гастроэнтеролог,"Избегайте острой и жирной пищи, пейте воду, примите антацид"
тошнота,гастроэнтеролог,"Избегайте тяжелой пищи, пейте воду, примите противорвотное"
боль в колене,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
боль в груди,кардиолог,"Избегайте стресса, измерьте давление, обратитесь к врачу"
шум в ушах,невролог,"Избегайте громких звуков, обратитесь к врачу"
затрудненное дыхание,пульмонолог,"Избегайте аллергенов, пейте воду, обратитесь к врачу"
сухость во рту,эндокринолог," Пейте воду, избегайте соленой пищи, проверьте уровень сахара"
боль в плече,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
частые головные боли,невролог,"Избегайте стресса, пейте воду, примите обезболивающее"
выпадение волос,дерматолог,"Используйте укрепляющие шампуни, избегайте стресса, обратитесь к врачу"
дрожь в руках,невролог,"Избегайте стресса, примите успокоительное, обратитесь к врачу"
учащенное сердцебиение,кардиолог,"Избегайте стресса, измерьте пульс, обратитесь к врачу"
жжение в желудке,гастроэнтеролог,"Избегайте острой и жирной пищи, пейте воду, примите антацид"
боль в пояснице,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
чувство тревоги,психотерапевт,"Избегайте стресса, примите успокоительное, обратитесь к врачу"
резь при мочеиспускании,уролог," Пейте воду, избегайте острой пищи, обратитесь к врачу"
отеки ног,кардиолог,"Избегайте соленой пищи, пейте воду, измерьте давление"
частое мочеиспускание,эндокринолог," Пейте воду, избегайте кофеина, проверьте уровень сахара"
покраснение глаз,офтальмолог,"Используйте капли для глаз, избегайте яркого света, обратитесь к врачу"
потеря сознания,невролог,"Прилягте, избегайте резких движений, обратитесь к врачу"
заложенность носа,отоларинголог,"Используйте капли для носа, пейте больше жидкости, избегайте переохлаждения"
судороги,невролог,"Избегайте нагрузок, пейте воду, примите магний"
покалывание в пальцах,невролог,"Избегайте нагрузок, примите витамины, обратитесь к врачу"
частый понос,гастроэнтеролог,"Избегайте тяжелой пищи, пейте воду, примите противодиарейное"
боль в локте,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
отеки рук,кардиолог,"Избегайте соленой пищи, пейте воду, измерьте давление"
зуд кожи,дерматолог,"Используйте увлажняющий крем, избегайте аллергенов, обратитесь к врачу"
проблемы с концентрацией,психотерапевт,"Избегайте стресса, примите успокоительное, обратитесь к врачу"
повышенное давление,кардиолог,"Избегайте соленой пищи, пейте воду, измерьте давление"
пониженное давление,кардиолог,"Пейте воду, избегайте резких движений, измерьте давление"
боль в бедре,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
сухой кашель,пульмонолог,"Пейте теплый чай, избегайте холодного воздуха, используйте сироп от кашля"
гной в горле,отоларинголог,"Полощите горло, пейте теплый чай, обратитесь к врачу"
жар,терапевт,"Пейте больше жидкости, отдыхайте, примите жаропонижающее"
озноб,терапевт,"Укутайтесь, пейте теплый чай, отдыхайте"
боль при глотании,отоларинголог,"Полощите горло, пейте теплый чай, обратитесь к врачу"
мушки перед глазами,офтальмолог,"Избегайте яркого света, пейте воду, обратитесь к врачу"
чувство нехватки воздуха,пульмонолог,"Избегайте аллергенов, пейте воду, обратитесь к врачу"
вялость,терапевт,"Отдыхайте, пейте воду, проверьте уровень гемоглобина"
слабость в ногах,невролог,"Избегайте нагрузок, примите витамины, обратитесь к врачу"
резкая боль в животе,гастроэнтеролог,"Избегайте тяжелой пищи, пейте воду, примите спазмолитик"
горечь во рту,гастроэнтеролог,"Избегайте жирной пищи, пейте воду, примите антацид"
спазмы в животе,гастроэнтеролог,"Избегайте тяжелой пищи, пейте воду, примите спазмолитик"
заложенность ушей,отоларинголог,"Используйте ушные капли, избегайте громких звуков, обратитесь к врачу"
трещины на губах,дерматолог,"Используйте увлажняющий бальзам, избегайте облизывания губ"
хруст в суставах,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
боль в кисти,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
нарушение координации,невролог,"Избегайте резких движений, примите витамины, обратитесь к врачу"
кровь в моче,уролог," Пейте воду, избегайте острой пищи, обратитесь к врачу"
изменение веса,эндокринолог,"Проконсультируйтесь с врачом, сдайте анализы на гормоны"
учащенное дыхание,пульмонолог,"Избегайте аллергенов, пейте воду, обратитесь к врачу"
ночная потливость,эндокринолог,"Проконсультируйтесь с врачом, сдайте анализы на гормоны"
красные пятна на коже,дерматолог,"Используйте увлажняющий крем, избегайте аллергенов, обратитесь к врачу"
хроническая усталость,терапевт,"Отдыхайте, пейте воду, проверьте уровень гемоглобина"
онемение конечностей,невролог,"Избегайте нагрузок, примите витамины, обратитесь к врачу"
боль в запястье,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
потеря аппетита,гастроэнтеролог,"Избегайте острой и жирной пищи, пейте воду, уменьшите уровень стресса, обратитесь к врачу"
нарушение сна,психотерапевт,"Избегайте стресса, примите успокоительное, обратитесь к врачу"
постоянная сонливость,эндокринолог,"Проконсультируйтесь с врачом, сдайте анализы на гормоны"
повышенный сахар,эндокринолог,"Избегайте сладкого, пейте воду, проверьте уровень сахара"
боль в лодыжке,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
першение в горле,отоларинголог,"Полощите горло, пейте теплый чай, избегайте холодного"
сухость кожи,дерматолог,"Используйте увлажняющий крем, избегайте аллергенов, обратитесь к врачу"
непроизвольные подергивания,невролог,"Избегайте стресса, примите успокоительное, обратитесь к врачу"
изменение цвета кожи,дерматолог,"Используйте увлажняющий крем, избегайте аллергенов, обратитесь к врачу"
боль в стопе,ортопед,"Избегайте нагрузок, используйте мазь для снятия боли, сделайте массаж"
жжение при мочеиспускании,уролог," Пейте воду, избегайте острой пищи, обратитесь к врачу"
хронический насморк,отоларинголог,"Используйте капли для носа, пейте больше жидкости, избегайте переохлаждения"
проблемы с памятью,невролог,"Избегайте стресса, примите витамины, обратитесь к врачу"
затрудненное глотание,отоларинголог,"Полощите горло, пейте теплый чай, обратитесь к врачу"
